AeroDyn airfoil file Created with QBlade v0.963 64bit on 05.04.2021 at 22:24:34 Compatible with AeroDyn v13.0.
Polar "E780-R81712-20-20 360 M" on Foil "E780-R81712-20-20" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
50.00          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-3.09          Angle of attack for zero Cn for linear Cn curve (deg)
8.11982        Cn slope for zero lift for linear Cn curve (1/rad)
-0.6502        Cn at stall value for positive angle of attack for linear Cn curve
-0.5797        Cn at stall value for negative angle of attack for linear Cn curve
-0.50          Angle of attack for minimum CD (deg)
0.0184         Minimum CD value
     75.00    0.8506    1.6724
     76.00    0.8155    1.6878
     77.00    0.7793    1.7022
     78.00    0.7420    1.7156
     79.00    0.7037    1.7281
     80.00    0.6645    1.7395
     81.00    0.6243    1.7498
     82.00    0.5833    1.7591
     83.00    0.5415    1.7674
     84.00    0.4989    1.7745
     85.00    0.4556    1.7806
     86.00    0.4116    1.7856
     87.00    0.3671    1.7895
     88.00    0.3221    1.7923
     89.00    0.2766    1.7940
     90.00    0.2306    1.7946
     91.00    0.1844    1.7941
     92.00    0.1379    1.7924
     93.00    0.0911    1.7897
     94.00    0.0443    1.7858
     95.00   -0.0027    1.7809
     96.00   -0.0496    1.7749
     97.00   -0.0965    1.7678
     98.00   -0.1432    1.7596
     99.00   -0.1897    1.7504
    100.00   -0.2360    1.7401
    101.00   -0.2819    1.7287
    102.00   -0.3275    1.7164
    103.00   -0.3725    1.7030
    104.00   -0.4170    1.6886
    105.00   -0.4609    1.6733
    106.00   -0.5041    1.6570
    107.00   -0.5466    1.6398
    108.00   -0.5918    1.6216
    109.00   -0.6325    1.6026
    110.00   -0.6724    1.5827
    111.00   -0.7112    1.5620
    112.00   -0.7490    1.5405
    113.00   -0.7857    1.5181
    114.00   -0.8212    1.4950
    115.00   -0.8555    1.4712
    116.00   -0.8886    1.4467
    117.00   -0.9203    1.4215
    118.00   -0.9507    1.3957
    119.00   -0.9797    1.3692
    120.00   -1.0073    1.3422
    121.00   -1.0333    1.3147
    122.00   -1.0578    1.2866
    123.00   -1.0808    1.2581
    124.00   -1.1022    1.2291
    125.00   -1.1220    1.1998
    126.00   -1.1401    1.1700
    127.00   -1.1565    1.1400
    128.00   -1.1713    1.1097
    129.00   -1.1844    1.0791
    130.00   -1.1957    1.0483
    131.00   -1.2054    1.0173
    132.00   -1.2133    0.9862
    133.00   -1.2194    0.9550
    134.00   -1.2239    0.9237
    135.00   -1.2266    0.8924
    136.00   -1.2275    0.8612
    137.00   -1.2268    0.8300
    138.00   -1.2243    0.7988
    139.00   -1.2202    0.7679
    140.00   -1.2144    0.7370
    141.00   -1.2069    0.7064
    142.00   -1.1978    0.6761
    143.00   -1.1872    0.6460
    144.00   -1.1750    0.6162
    145.00   -1.1612    0.5868
    146.00   -1.1461    0.5578
    147.00   -1.1294    0.5292
    148.00   -1.1114    0.5011
    149.00   -1.0921    0.4735
    150.00   -1.0715    0.4464
    151.00   -1.0497    0.4198
    152.00   -1.0268    0.3939
    153.00   -1.0028    0.3685
    154.00   -0.9778    0.3438
